x,y,z
-0.899482,0.148559,1.09504
-0.889849,0.101798,1.0945
-0.879389,0.0552444,1.09369
-0.866481,0.0102234,1.09335
-0.851817,-0.0343218,1.09368
-0.83692,-0.08157,1.09413
-0.82219,-0.130666,1.09369
-0.805385,-0.178436,1.09389
-0.786869,-0.225943,1.09373
-0.767431,-0.276686,1.09333
-0.748279,-0.327498,1.09277
-0.728789,-0.380394,1.0933
-0.709263,-0.433597,1.09392
-0.690497,-0.488218,1.09501
-0.671418,-0.544351,1.09565
-0.649258,-0.599249,1.096
-0.6239,-0.653927,1.09577
-0.597319,-0.709139,1.09545
-0.568805,-0.765053,1.09475
-0.537538,-0.819966,1.09314
-0.503106,-0.874515,1.0912
-0.46974,-0.927343,1.0874
-0.436125,-0.978849,1.08391
-0.402373,-1.02728,1.08195
-0.368376,-1.07178,1.08224
-0.331868,-1.11391,1.08212
-0.293432,-1.15423,1.08327
-0.258041,-1.1916,1.08287
-0.224932,-1.2275,1.08185
-0.190706,-1.2614,1.08182
-0.156718,-1.29347,1.08215
-0.123889,-1.32721,1.08275
-0.0947044,-1.35927,1.08253
-0.0632713,-1.391,1.08312
-0.0328568,-1.42028,1.08324
-0.00728367,-1.4476,1.0839
0.0125398,-1.47162,1.08432
0.0258682,-1.49136,1.08553
